category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	fdr
GO:0031072	0.0002216756436247592	0.9999698205814511	8	23	heat shock protein binding	MF	0.06655620100140615
GO:0015171	0.00026663278693184845	0.9999555787388763	9	30	amino acid transmembrane transporter activity	MF	0.07738572252718683
GO:0020037	0.0002931373904792964	0.9998888867526738	23	139	heme binding	MF	0.08199941708872657
GO:0042626	0.0003099797593080967	0.9999276521188735	12	49	ATPase-coupled transmembrane transporter activity	MF	0.08199941708872657
GO:0009950	0.000310782217058456	0.9999549012935905	8	24	dorsal/ventral axis specification	BP	0.08199941708872657
GO:0042026	0.00035216716175306853	0.9999381592773143	9	32	protein refolding	BP	0.0901858669818814
GO:0005506	0.0004418407935817185	0.999823180306907	24	149	iron ion binding	MF	0.10003838222154628
GO:0160032	0.0004420786524831465	0.9999423935922561	7	21			0.10003838222154628
GO:0004602	0.00045067694034182405	0.9999522045604838	6	18	glutathione peroxidase activity	MF	0.10003838222154628
GO:0008096	0.00045916120061441774	1.0	3	3	juvenile hormone epoxide hydrolase activity	MF	0.10003838222154628
GO:0097176	0.00045916120061441774	1.0	3	3	epoxide metabolic process	BP	0.10003838222154628
GO:0051787	0.0004605790299856234	0.9999404032341047	7	20	misfolded protein binding	MF	0.10003838222154628
GO:0006986	0.0004782932777074627	0.9999842645478321	4	6	response to unfolded protein	BP	0.10003838222154628
GO:0006082	0.00048255565100550636	1.0	3	3	organic acid metabolic process	BP	0.10003838222154628
GO:0003997	0.0004981486207971919	0.9999834269852719	4	6	acyl-CoA oxidase activity	MF	0.10086930328560813
GO:0042834	0.0005536763790789824	0.9999388852655929	6	18	peptidoglycan binding	MF	0.10793302533630689
GO:0016616	0.0005578254439110842	0.9999406201086383	6	16	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	MF	0.10793302533630689
GO:0005811	0.0005987761203914869	0.9999009792228627	8	27	lipid droplet	CC	0.11333790609236254
GO:0044183	0.0006794395696909738	0.9999034271173276	7	22	protein folding chaperone	MF	0.1258697943255172
GO:0031012	0.000818287095455652	0.999678073983712	21	141	extracellular matrix	CC	0.14726116101054512
GO:0005764	0.0008287351429328943	0.999736490382477	15	82	lysosome	CC	0.14726116101054512
GO:0005125	0.0009615555681727304	0.9998517275599593	7	24	cytokine activity	MF	0.16744528664159927
GO:0051085	0.0010293864502075635	0.9998094420575704	8	31	chaperone cofactor-dependent protein refolding	BP	0.17574250631288735
GO:0006032	0.0012177874639685692	0.9998455924807332	6	17	chitin catabolic process	BP	0.2039091432456602
GO:0009253	0.0013142291169969769	0.9998690945916635	5	14	peptidoglycan catabolic process	BP	0.21590552682439015
GO:0061327	0.0013746713221477248	0.999869653915418	5	12	anterior Malpighian tubule development	BP	0.2216530222581526
GO:0032222	0.0014076977198770296	0.9998575371856836	5	14	regulation of synaptic transmission, cholinergic	BP	0.22285134630853268
GO:0004867	0.0015285317793954532	0.999547035386086	12	81	serine-type endopeptidase inhibitor activity	MF	0.23765939648564663
GO:0005903	0.0017473662531549447	0.9999641843750877	3	4	brush border	CC	0.2610136074151547
GO:0004301	0.001752043165686141	0.9999640538071085	3	4	epoxide hydrolase activity	MF	0.2610136074151547
GO:0098595	0.0017889805081832012	0.9997506617045866	6	18	perivitelline space	CC	0.2610136074151547
GO:0000064	0.0017986466572768214	0.9999627457551553	3	4	L-ornithine transmembrane transporter activity	MF	0.2610136074151547
GO:0030018	0.0018587947567561597	0.9995238405224297	10	48	Z disc	CC	0.26532009749304725
GO:0005504	0.0019343437785426234	0.9998740463570511	4	8	fatty acid binding	MF	0.27074174252364624
GO:0015179	0.001958967472032814	0.9996540340405506	7	25	L-amino acid transmembrane transporter activity	MF	0.27074174252364624
GO:0050767	0.0023087423233010586	0.9995077247255358	8	33	regulation of neurogenesis	BP	0.3140971782653487
GO:0006836	0.002466968171854963	0.9996274793012949	6	19	neurotransmitter transport	BP	0.3297325928066705
GO:0005777	0.0024994086511129264	0.9991015162790706	15	90	peroxisome	CC	0.3297325928066705
GO:0006820	0.002564517106024399	0.9995206745683082	7	26	anion transport	BP	0.3332723946590215
GO:0009952	0.0026616614565393767	0.999495652133953	7	27	anterior/posterior pattern specification	BP	0.34081009267776985
GO:0009408	0.0029702867939623034	0.9991108553451793	11	64	response to heat	BP	0.3736900555731418
GO:0006094	0.0030042843562788474	0.9997620300653296	4	9	gluconeogenesis	BP	0.3736900555731418
GO:1903818	0.0030813314344630897	0.9996100268147128	5	16	positive regulation of voltage-gated potassium channel activity	BP	0.375401861349739
GO:0009636	0.0031573298554399085	0.9996136045409107	5	14	response to toxic substance	BP	0.375401861349739
GO:1902554	0.003178953933577708	1.0	2	2	serine/threonine protein kinase complex	CC	0.375401861349739
GO:0090277	0.0031905062294568377	1.0	2	2	positive regulation of peptide hormone secretion	BP	0.375401861349739
GO:0005604	0.003311424925771316	0.9994619161987014	6	20	basement membrane	CC	0.384434357715878
GO:0097254	0.0034520605010859326	0.9997154688652864	4	9	renal tubular secretion	BP	0.392994978887879
GO:0030239	0.003475435095252863	0.9995553856255781	5	15	myofibril assembly	BP	0.392994978887879
GO:0004190	0.003821378612906445	0.9994998729244452	5	15	aspartic-type endopeptidase activity	MF	0.4221602332205947
GO:0035805	0.003830327141888938	1.0	2	2	egg coat	CC	0.4221602332205947
GO:0005863	0.003951076028999477	0.9998411312375027	3	5	striated muscle myosin thick filament	CC	0.42516896642947927
GO:0006552	0.003955287272400117	0.9998408997481932	3	5	leucine catabolic process	BP	0.42516896642947927
GO:0006719	0.004146979088161132	0.9998302652812305	3	5	juvenile hormone catabolic process	BP	0.4281203993847721
GO:0031430	0.004193229063650612	0.9994387914925137	5	15	M band	CC	0.4281203993847721
GO:0015749	0.0042045574720164375	0.9998270342709462	3	5	monosaccharide transmembrane transport	BP	0.4281203993847721
GO:0016491	0.004244451578463013	0.9983741298828888	15	98	oxidoreductase activity	MF	0.4281203993847721
GO:0005355	0.004277762116282896	0.9998229022506916	3	5	glucose transmembrane transporter activity	MF	0.4281203993847721
GO:1904659	0.004277762116282896	0.9998229022506916	3	5	glucose transmembrane transport	BP	0.4281203993847721
GO:0004363	0.004341633054479114	1.0	2	2	glutathione synthase activity	MF	0.42957498869715505
GO:1990837	0.0044776501339768736	0.9993802412392904	5	16	sequence-specific double-stranded DNA binding	MF	0.4380550529947937
GO:0006107	0.004769361783300449	1.0	2	2	oxaloacetate metabolic process	BP	0.4469393238082881
GO:0004341	0.004929182314690208	1.0	2	2	gluconolactonase activity	MF	0.4469393238082881
GO:0019853	0.004929182314690208	1.0	2	2	L-ascorbic acid biosynthetic process	BP	0.4469393238082881
GO:1903061	0.005045560255789515	1.0	2	2	positive regulation of protein lipidation	BP	0.4469393238082881
GO:0003012	0.005120529269446287	0.9997323878729515	3	6	muscle system process	BP	0.4469393238082881
GO:0007343	0.0052430522332664094	0.9994678892702178	4	11	egg activation	BP	0.4469393238082881
GO:0035038	0.005300289822236787	1.0	2	2	female pronucleus assembly	BP	0.4469393238082881
GO:0006145	0.00568903020783251	1.0	2	2	purine nucleobase catabolic process	BP	0.4469393238082881
GO:0016705	0.005821849988622061	0.9977848730744505	14	85	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	MF	0.4469393238082881
GO:0006635	0.005831321807138254	0.9986990196606881	7	30	fatty acid beta-oxidation	BP	0.4469393238082881
GO:0007155	0.005925385140948343	0.9983285333862092	9	46	cell adhesion	BP	0.4469393238082881
GO:0006564	0.006020322588619496	1.0	2	2	L-serine biosynthetic process	BP	0.4469393238082881
GO:0016805	0.006021785681032224	1.0	2	2	dipeptidase activity	MF	0.4469393238082881
GO:0032385	0.006035666348124031	1.0	2	2	positive regulation of intracellular cholesterol transport	BP	0.4469393238082881
GO:0010951	0.006106505898476906	0.9996594524717816	3	6	negative regulation of endopeptidase activity	BP	0.4469393238082881
GO:0031669	0.00611838547879456	1.0	2	2	cellular response to nutrient levels	BP	0.4469393238082881
GO:0016324	0.006119650698056204	0.9976539976239504	14	87	apical plasma membrane	CC	0.4469393238082881
GO:0071711	0.006135756516737228	0.9990830636760054	5	16	basement membrane organization	BP	0.4469393238082881
GO:0035007	0.006138723255769771	1.0	2	2	regulation of melanization defense response	BP	0.4469393238082881
GO:0004356	0.006150733254032247	1.0	2	2	glutamate-ammonia ligase activity	MF	0.4469393238082881
GO:0006542	0.006150733254032247	1.0	2	2	glutamine biosynthetic process	BP	0.4469393238082881
GO:0046683	0.006159667435096002	1.0	2	2	response to organophosphorus	BP	0.4469393238082881
GO:0008395	0.006159724228434876	1.0	2	2	steroid hydroxylase activity	MF	0.4469393238082881
GO:0016712	0.006159724228434876	1.0	2	2	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	MF	0.4469393238082881
GO:0003096	0.006159724228435008	1.0	2	2	renal sodium ion transport	BP	0.4469393238082881
GO:1903408	0.006159724228435437	1.0	2	2	positive regulation of P-type sodium:potassium-exchanging transporter activity	BP	0.4469393238082881
GO:0031323	0.006159724228435507	1.0	2	2	regulation of cellular metabolic process	BP	0.4469393238082881
GO:0016684	0.006159724228436121	1.0	2	2	oxidoreductase activity, acting on peroxide as acceptor	MF	0.4469393238082881
GO:0008511	0.006159724228436185	1.0	2	2	sodium:potassium:chloride symporter activity	MF	0.4469393238082881
GO:0055078	0.006159724228436185	1.0	2	2	sodium ion homeostasis	BP	0.4469393238082881
GO:0005581	0.0061597242284362665	1.0	2	2	collagen trimer	CC	0.4469393238082881
GO:0017171	0.006317964835786285	0.9972112116255597	18	136	serine hydrolase activity	MF	0.454632395249514
GO:0004601	0.006899906517902652	0.998908942188749	5	18	peroxidase activity	MF	0.4924384102571999
GO:0031638	0.007007184737801434	0.9995887669702207	3	6	zymogen activation	BP	0.4960289228620901
GO:0008745	0.007064627061816837	0.9991761489099582	4	13	N-acetylmuramoyl-L-alanine amidase activity	MF	0.4960621598970903
GO:0008234	0.007228047226808778	0.9991944014454041	4	11	cysteine-type peptidase activity	MF	0.49919663085464383
GO:0019991	0.007247897890752028	0.9982858395562135	7	34	septate junction assembly	BP	0.49919663085464383
GO:0016747	0.0072812647431422725	0.9985506524223134	6	24	acyltransferase activity, transferring groups other than amino-acyl groups	MF	0.49919663085464383
GO:0033499	0.008018238938318363	0.9994557272156235	3	7	galactose catabolic process via UDP-galactose	BP	0.5396593547523058
GO:0005416	0.008052029849134976	0.9995023068780848	3	6	amino acid:cation symporter activity	MF	0.5396593547523058
GO:0042908	0.008057392456391381	0.9995018513792023	3	6	xenobiotic transport	BP	0.5396593547523058
GO:0055070	0.008825901635008843	0.9989012951243287	4	13	copper ion homeostasis	BP	0.5866192789009312
GO:0005102	0.008930764956831766	0.9975333283358911	8	41	signaling receptor binding	MF	0.5871518145263593
GO:0005918	0.008968782741702744	0.9981083503703447	6	26	septate junction	CC	0.5871518145263593
GO:0005201	0.009506562609021427	0.9976486598527952	7	32	extracellular matrix structural constituent	MF	0.6177137360951459
GO:0004300	0.009953675910480662	0.9992675248686181	3	7	enoyl-CoA hydratase activity	MF	0.6419752307596676
GO:0006936	0.010277821999970814	0.9986917325583337	4	12	muscle contraction	BP	0.6575854623762811
GO:0008194	0.010346756442580742	0.9970742639800779	8	40	UDP-glycosyltransferase activity	MF	0.6575854623762811
GO:0009416	0.010700142956950012	0.9976685836046875	6	25	response to light stimulus	BP	0.6751169907693025
GO:0006559	0.010835786047246282	0.9991767464134244	3	7	L-phenylalanine catabolic process	BP	0.6787567562113193
GO:0140662	0.011101415981958499	0.9971581718585403	7	33	ATP-dependent protein folding chaperone	MF	0.6890084352022182
GO:0042577	0.011395024691501077	0.9991176714712944	3	7	lipid phosphatase activity	MF	0.6890084352022182
GO:0008108	0.011464642977412095	1.0	1	1	UDP-glucose:hexose-1-phosphate uridylyltransferase activity	MF	0.6890084352022182
GO:0033501	0.011464642977412095	1.0	1	1	galactose homeostasis	BP	0.6890084352022182
GO:0006805	0.011552354221968854	0.99844217170048	4	13	xenobiotic metabolic process	BP	0.6890084352022182
GO:0001883	0.011723532131400805	0.9997396804826802	2	3	purine nucleoside binding	MF	0.6890084352022182
GO:0042278	0.011723532131400805	0.9997396804826802	2	3	purine nucleoside metabolic process	BP	0.6890084352022182
GO:0140291	0.011723532131400805	0.9997396804826802	2	3	peptidyl-glutamate ADP-deribosylation	BP	0.6890084352022182
GO:0140293	0.011723532131400805	0.9997396804826802	2	3	ADP-ribosylglutamate hydrolase activity	MF	0.6890084352022182
GO:0060857	0.011790772578974446	0.9978458463483516	5	19	establishment of glial blood-brain barrier	BP	0.6890084352022182
GO:0010998	0.011970616725991888	0.9997312148821453	2	3	regulation of translational initiation by eIF2 alpha phosphorylation	BP	0.6948543988880758
GO:0003995	0.012464856715625496	0.9990014995981878	3	7	acyl-CoA dehydrogenase activity	MF	0.7187517047877563
GO:0045861	0.012562935623054567	0.9976255168577554	5	21	negative regulation of proteolysis	BP	0.7196413188811586
GO:0071949	0.012714493688429465	0.9971047720624424	6	26	FAD binding	MF	0.7235627225173552
GO:0016042	0.012818102254972515	0.9961962620561178	8	44	lipid catabolic process	BP	0.7247221839873097
GO:0006865	0.013282916336639992	0.9989099688285554	3	7	amino acid transport	BP	0.7461571131814478
GO:0016298	0.013687765837527462	0.9963102314294213	7	36	lipase activity	MF	0.7639703663291769
GO:0051015	0.013950505122455069	0.9945080812043732	12	80	actin filament binding	MF	0.7736754656128426
GO:0005975	0.014398096677688921	0.994067389773571	13	86	carbohydrate metabolic process	BP	0.7907239499596969
GO:0018990	0.014439543820327529	0.9971726243771585	5	21	ecdysis, chitin-based cuticle	BP	0.7907239499596969
GO:0004805	0.014892288234499602	0.9996240270570353	2	3	trehalose-phosphatase activity	MF	0.8028843037070971
GO:0005992	0.014892288234499602	0.9996240270570353	2	3	trehalose biosynthetic process	BP	0.8028843037070971
GO:0008219	0.01493824017463532	0.9970495072637182	5	21	cell death	BP	0.8028843037070971
GO:0007504	0.015271982820322253	0.9996091709357696	2	3	larval fat body development	BP	0.8157862234143918
GO:0005314	0.01568319267071906	0.9995928494824328	2	3	high-affinity glutamate transmembrane transporter activity	MF	0.8275973247512186
GO:0043490	0.015683192670719083	0.9995928494824327	2	3	malate-aspartate shuttle	BP	0.8275973247512186
GO:0006541	0.015852866580829735	0.9995860450897637	2	3	glutamine metabolic process	BP	0.8287652272610306
GO:0042574	0.016321983138340507	0.9984594598367035	3	8	retinal metabolic process	BP	0.8287652272610306
GO:0030151	0.016379882201553106	0.9995646525845241	2	3	molybdenum ion binding	MF	0.8287652272610306
GO:0005326	0.016879535978630695	0.9965881758455873	5	20	neurotransmitter transmembrane transporter activity	MF	0.8287652272610306
GO:0032529	0.01699348105850607	0.9995392593452574	2	3	follicle cell microvillus organization	BP	0.8287652272610306
GO:0006697	0.01717298391156126	0.9973408218924252	4	14	ecdysone biosynthetic process	BP	0.8287652272610306
GO:0045213	0.017291487470212242	0.9995267399981995	2	3	neurotransmitter receptor metabolic process	BP	0.8287652272610306
GO:0045739	0.01732032116942564	0.9995255222570792	2	3	positive regulation of DNA repair	BP	0.8287652272610306
GO:0007503	0.017384204152582912	0.9995228202421317	2	3	fat body development	BP	0.8287652272610306
GO:0015771	0.017430874645864954	0.9995208427466374	2	3	trehalose transport	BP	0.8287652272610306
GO:0035009	0.017477440868627153	0.9995188667228413	2	3	negative regulation of melanization defense response	BP	0.8287652272610306
GO:0010025	0.017513816678070653	0.9995173210806574	2	3	wax biosynthetic process	BP	0.8287652272610306
GO:0015189	0.01751381667807841	0.9995173210806574	2	3	L-lysine transmembrane transporter activity	MF	0.8287652272610306
GO:0097638	0.01751381667807841	0.9995173210806574	2	3	L-arginine import across plasma membrane	BP	0.8287652272610306
GO:1903352	0.01751381667807841	0.9995173210806574	2	3	L-ornithine transmembrane transport	BP	0.8287652272610306
GO:0042910	0.01751381667807846	0.9995173210806574	2	3	xenobiotic transmembrane transporter activity	MF	0.8287652272610306
GO:0010314	0.017513816678078466	0.9995173210806574	2	3	phosphatidylinositol-5-phosphate binding	MF	0.8287652272610306
GO:0040005	0.017513816678078473	0.9995173210806574	2	3	chitin-based cuticle attachment to epithelium	BP	0.8287652272610306
GO:0005587	0.017513816678078515	0.9995173210806573	2	3	collagen type IV trimer	CC	0.8287652272610306
GO:0007156	0.019569967535344564	0.9937097561900398	8	45	homophilic cell adhesion via plasma membrane adhesion molecules	BP	0.9080191567316455
GO:0005243	0.01972590641929005	0.9979975284013199	3	8	gap junction channel activity	MF	0.9080191567316455
GO:0005921	0.01972590641929005	0.9979975284013199	3	8	gap junction	CC	0.9080191567316455
GO:0010496	0.01972590641929005	0.9979975284013199	3	8	intercellular transport	BP	0.9080191567316455
GO:0008028	0.019814360833698478	0.9967941401909539	4	14	monocarboxylic acid transmembrane transporter activity	MF	0.9080191567316455
GO:0015718	0.019814360833698478	0.9967941401909539	4	14	monocarboxylic acid transport	BP	0.9080191567316455
GO:0008083	0.020178694043594347	0.9956926029535843	5	21	growth factor activity	MF	0.9198737645946387
GO:0007444	0.021173166549340143	0.9944877907010938	6	30	imaginal disc development	BP	0.9601810476307533
GO:1902911	0.02189443629514898	0.9990464440122729	2	4	protein kinase complex	CC	0.9877453721340009
GO:1902936	0.022378308290874532	0.9950239691112459	5	23	phosphatidylinositol bisphosphate binding	MF	0.9993312330897502
GO:0004303	0.022380795963305535	0.9960909585332889	4	17	estradiol 17-beta-dehydrogenase activity	MF	0.9993312330897502
GO:0046839	0.022803736948656565	0.9974443383930857	3	9	phospholipid dephosphorylation	BP	1.0
GO:1990573	0.023510377086359682	0.995928245487262	4	15	potassium ion import across plasma membrane	BP	1.0
GO:0030388	0.02375211438320686	0.9989187177643388	2	4	fructose 1,6-bisphosphate metabolic process	BP	1.0
GO:0043277	0.024050485157860436	0.9972482503085435	3	9	apoptotic cell clearance	BP	1.0
GO:0008362	0.024736676719436895	0.9956474448870153	4	15	chitin-based embryonic cuticle biosynthetic process	BP	1.0
GO:0008195	0.024951443883038042	0.9971039404594797	3	9	phosphatidate phosphatase activity	MF	1.0
GO:0043295	0.025131941444099023	0.9988201275754202	2	4	glutathione binding	MF	1.0
GO:0004165	0.025495762598240032	0.9987936138388769	2	4	dodecenoyl-CoA delta-isomerase activity	MF	1.0
GO:0004619	0.025693646441403373	0.9987791029633905	2	4	phosphoglycerate mutase activity	MF	1.0
GO:0051082	0.025831790056137893	0.9893033028319558	11	81	unfolded protein binding	MF	1.0
GO:0016323	0.025895685827912518	0.9919654527477515	7	40	basolateral plasma membrane	CC	1.0
GO:0055065	0.02698040517280992	0.9983516598791897	2	6	metal ion homeostasis	BP	1.0
GO:0005509	0.027335367368100563	0.9845694518746488	23	204	calcium ion binding	MF	1.0
GO:0030060	0.02760037093388572	0.9986360728379178	2	4	L-malate dehydrogenase activity	MF	1.0
GO:0003993	0.027773736214315115	0.9965305763764619	3	10	acid phosphatase activity	MF	1.0
GO:0000150	0.02779511024506729	0.998621140891345	2	4	DNA strand exchange activity	MF	1.0
GO:0042148	0.02779511024506729	0.998621140891345	2	4	strand invasion	BP	1.0
GO:0050790	0.027870151293781183	0.9984016886184414	2	5	regulation of catalytic activity	BP	1.0
GO:0019953	0.027963528129215383	0.9847839402086596	20	220	sexual reproduction	BP	1.0
GO:0008366	0.028311569509934565	0.9965471508704795	3	9	axon ensheathment	BP	1.0
GO:0004993	0.0283122045643089	0.9965470429429067	3	9	G protein-coupled serotonin receptor activity	MF	1.0
GO:0007187	0.0283122045643089	0.9965470429429067	3	9	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	BP	1.0
GO:0004497	0.029244512030153866	0.9871587685361534	12	84	monooxygenase activity	MF	1.0
GO:0016460	0.030022018899232814	0.9961333699976891	3	10	myosin II complex	CC	1.0
GO:0005462	0.030305651476754198	0.9984233731984677	2	4	UDP-N-acetylglucosamine transmembrane transporter activity	MF	1.0
GO:2000427	0.0308883641014636	0.998376090783355	2	4	positive regulation of apoptotic cell clearance	BP	1.0
GO:0031672	0.031103095319488024	0.99835853776503	2	4	A band	CC	1.0
GO:0006734	0.03134585971773225	0.9983386096568925	2	4	NADH metabolic process	BP	1.0
GO:0005460	0.03159547977838493	0.9983180265743063	2	4	UDP-glucose transmembrane transporter activity	MF	1.0
GO:0005464	0.03166770550830324	0.9983120536089702	2	4	UDP-xylose transmembrane transporter activity	MF	1.0
GO:0031526	0.031742490722294715	0.9983058607597722	2	4	brush border membrane	CC	1.0
GO:0030170	0.03273982026056944	0.9904671365145921	6	33	pyridoxal phosphate binding	MF	1.0
GO:0006537	0.03279837850256992	0.9982175358288958	2	4	glutamate biosynthetic process	BP	1.0
GO:0015574	0.03309552375506229	0.9981923819882905	2	4	trehalose transmembrane transporter activity	MF	1.0
GO:0006196	0.03317829759575779	0.9981853518811874	2	4	AMP catabolic process	BP	1.0
GO:0042803	0.03318876785492124	0.983551091136563	15	123	protein homodimerization activity	MF	1.0
GO:0047875	0.03321026880273178	0.9981826338200999	2	4	ecdysone oxidase activity	MF	1.0
GO:0048168	0.03321027204999448	0.9981826335439545	2	4	regulation of neuronal synaptic plasticity	BP	1.0
GO:0008559	0.033210272049994743	0.9981826335439542	2	4	ABC-type xenobiotic transporter activity	MF	1.0
GO:0070062	0.03331750021436828	0.9933472018715113	4	18	extracellular exosome	CC	1.0
GO:0002922	0.033981048387208286	1.0	1	1	positive regulation of humoral immune response	BP	1.0
GO:0034112	0.033981048387208286	1.0	1	1	positive regulation of homotypic cell-cell adhesion	BP	1.0
GO:0006096	0.03468811729858832	0.9912357973703523	5	25	glycolytic process	BP	1.0
GO:2000242	0.035180646044149506	1.0	1	1	negative regulation of reproductive process	BP	1.0
GO:0045087	0.03554093961206558	0.9860620489957892	9	64	innate immune response	BP	1.0
GO:0046512	0.036502382726180505	0.9975724418708577	2	5	sphingosine biosynthetic process	BP	1.0
GO:0048018	0.03661921223075925	0.9889875203107511	6	35	receptor ligand activity	MF	1.0
GO:0016459	0.038131755043959575	0.9946000616024283	3	10	myosin complex	CC	1.0
GO:0005902	0.03813175504397446	0.9946000616024283	3	10	microvillus	CC	1.0
GO:0046928	0.03898294478590733	0.991815726656657	4	18	regulation of neurotransmitter secretion	BP	1.0
GO:0008184	0.03928919490929592	1.0	1	1	glycogen phosphorylase activity	MF	1.0
GO:0015293	0.039409129204722296	0.9917731607597761	4	17	symporter activity	MF	1.0
GO:0062023	0.04016556490868612	0.989389007999505	5	26	collagen-containing extracellular matrix	CC	1.0
GO:0035725	0.04061909413454663	0.9837409513564747	9	60	sodium ion transmembrane transport	BP	1.0
GO:0051482	0.04221747664718833	0.9969562232303778	2	5	positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway	BP	1.0
GO:0120242	0.04225685005551094	1.0	1	1	2-iminobutanoate deaminase activity	MF	1.0
GO:1901565	0.04225685005551094	1.0	1	1	organonitrogen compound catabolic process	BP	1.0
GO:0017111	0.04262936090514747	1.0	1	1	nucleoside-triphosphatase activity	MF	1.0
GO:0007311	0.04315968713982571	0.9968497319069632	2	5	maternal specification of dorsal/ventral axis, oocyte, germ-line encoded	BP	1.0
GO:0044319	0.044656047233432826	0.9966778213815054	2	5	wound healing, spreading of cells	BP	1.0
GO:0006750	0.044781577077350275	0.9966632452589881	2	5	glutathione biosynthetic process	BP	1.0
GO:0016788	0.04544988921077714	0.9965852426130253	2	5	hydrolase activity, acting on ester bonds	MF	1.0
GO:0010009	0.04555535661082585	1.0	1	1	cytoplasmic side of endosome membrane	CC	1.0
GO:0055092	0.04650865916217643	1.0	1	1	sterol homeostasis	BP	1.0
GO:0120020	0.04650865916217643	1.0	1	1	cholesterol transfer activity	MF	1.0
GO:0006520	0.046677263870134	0.9926558708290023	3	11	cellular amino acid metabolic process	BP	1.0
GO:0016229	0.04723638471901496	0.9963734409892547	2	5	steroid dehydrogenase activity	MF	1.0
GO:0005328	0.04779984575766418	0.9924063946443055	3	11	neurotransmitter:sodium symporter activity	MF	1.0
GO:0015116	0.04812388170107475	0.989096190010287	4	19	sulfate transmembrane transporter activity	MF	1.0
GO:0015149	0.048470285565013004	0.9922561905766113	3	11	hexose transmembrane transporter activity	MF	1.0
GO:0061077	0.049124430587989765	0.9886454191611452	4	21	chaperone-mediated protein folding	BP	1.0
GO:0015810	0.049320569751702015	0.9961203591346388	2	5	aspartate transmembrane transport	BP	1.0
GO:0007275	0.04957011863684869	0.9917295216984585	3	13	multicellular organism development	BP	1.0
GO:0009617	0.050500256254519336	0.9851987090524392	5	42	response to bacterium	BP	1.0
GO:0006574	0.05089227927630995	0.9959252940509541	2	5	valine catabolic process	BP	1.0
