category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	fdr
GO_REGULATION_OF_LIPID_STORAGE	0.004410752670736798	0.9998689843399197	2	47	1.0
GO_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	0.0044765260578058545	0.9996670558412253	3	159	1.0
GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_MEDIATED_BY_A_CHEMICAL_SIGNAL	0.004951739295764234	0.9998437004611492	2	49	1.0
GO_CYTOKINE_PRODUCTION	0.005184997850653777	0.9989930684503792	6	801	1.0
GO_REGULATION_OF_LIPID_CATABOLIC_PROCESS	0.005710940711568769	0.9998053453041292	2	55	1.0
GO_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM	0.008794082524199408	0.9996216816358298	2	85	1.0
GO_MONOSACCHARIDE_CATABOLIC_PROCESS	0.00889712923304169	0.9996167404823747	2	67	1.0
GO_CELL_CELL_ADHESION	0.0091538258719387	0.9979940804076033	6	844	1.0
GO_RESPIRATORY_SYSTEM_DEVELOPMENT	0.009663766057980173	0.9990483603667362	3	200	1.0
GO_INTERLEUKIN_1_ALPHA_SECRETION	0.009686230889054433	0.9999634307518748	1	5	1.0
GO_LIPID_STORAGE	0.009689529366767265	0.9995632725218293	2	70	1.0
GO_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY	0.009690762537013661	0.9995630567582058	2	71	1.0
GO_CD4_POSITIVE_CD25_POSITIVE_ALPHA_BETA_REGULATORY_T_CELL_DIFFERENTIATION	0.010170065979822373	0.999959678092194	1	5	1.0
GO_T_CELL_ANTIGEN_PROCESSING_AND_PRESENTATION	0.010340911993621534	0.9999583090308954	1	5	1.0
GO_RESPONSE_TO_STILBENOID	0.010595648024581619	0.9999544066890375	1	6	1.0
GO_NEGATIVE_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS	0.010656222021711298	0.999955722036858	1	5	1.0
GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	0.011060228637135584	0.99946532525173	2	74	1.0
GO_SUCCINATE_TRANSPORT	0.011157052015286271	0.999951452118129	1	5	1.0
GO_REGULATION_OF_LYMPHANGIOGENESIS	0.011350118467928692	0.9999497533673601	1	5	1.0
GO_NEGATIVE_REGULATION_OF_FATTY_ACID_BETA_OXIDATION	0.01136824292182886	0.999949592387178	1	5	1.0
GO_POSITIVE_REGULATION_OF_LIPID_LOCALIZATION	0.012461505780044901	0.9993576201679896	2	82	1.0
GO_REGULATION_OF_T_HELPER_17_CELL_LINEAGE_COMMITMENT	0.012693666767659234	0.9999345080327714	1	6	1.0
GO_POSITIVE_REGULATION_OF_MEMORY_T_CELL_DIFFERENTIATION	0.01273732360816024	0.9999340556072203	1	6	1.0
GO_MONOTERPENOID_METABOLIC_PROCESS	0.0127427962941473	0.999933998782145	1	6	1.0
GO_ENDOCRINE_PROCESS	0.012846654726510474	0.9993271398938987	2	82	1.0
GO_CEREBELLAR_PURKINJE_CELL_GRANULE_CELL_PRECURSOR_CELL_SIGNALING_INVOLVED_IN_REGULATION_OF_GRANULE_CELL_PRECURSOR_CELL_PROLIFERATION	0.013089955679492424	0.9999303438079559	1	6	1.0
GO_TRICARBOXYLIC_ACID_TRANSPORT	0.013261939405251088	0.9999284964449451	1	6	1.0
GO_SYNAPTIC_TRANSMISSION_GLYCINERGIC	0.013314655246996763	0.9999279253305459	1	6	1.0
GO_RENAL_RESPONSE_TO_BLOOD_FLOW_INVOLVED_IN_CIRCULATORY_RENIN_ANGIOTENSIN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	0.013648952205370874	0.999924250441	1	6	1.0
GO_POSITIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY	0.014033169322232055	0.9999199132872922	1	6	1.0
GO_UREA_TRANSPORT	0.014239251292943981	0.9999151907835828	1	7	1.0
GO_NEGATIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS	0.014445634602757494	0.9991937237910107	2	93	1.0
GO_FLOOR_PLATE_DEVELOPMENT	0.014451140804705566	0.9999126406369845	1	7	1.0
GO_T_CELL_DIFFERENTIATION	0.014838226066466518	0.9982857434741595	3	240	1.0
GO_ACTIN_CORTICAL_PATCH_LOCALIZATION	0.015302673211340954	0.9999020089645342	1	7	1.0
GO_INTERLEUKIN_1_BETA_PRODUCTION	0.015622255293314569	0.9990901849455524	2	102	1.0
GO_INTERLEUKIN_1_ALPHA_PRODUCTION	0.015801964777902515	0.9998916375338768	1	9	1.0
GO_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	0.01594576784619331	0.9981070275101513	3	252	1.0
GO_T_CELL_ACTIVATION	0.016237430764808807	0.9972195914166492	4	467	1.0
GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	0.016399532958045804	0.9990217336619355	2	92	1.0
GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	0.016663062583631007	0.9989974639616279	2	93	1.0
GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION	0.017379865572763244	0.998930517150311	2	95	1.0
GO_POSITIVE_REGULATION_OF_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION	0.017508102395177475	0.999868955818233	1	8	1.0
GO_POSITIVE_REGULATION_OF_CEREBELLAR_GRANULE_CELL_PRECURSOR_PROLIFERATION	0.01770409430477111	0.9998659952228559	1	8	1.0
GO_HINDGUT_DEVELOPMENT	0.01784241083737045	0.9998638858106492	1	8	1.0
GO_POSITIVE_REGULATION_OF_T_HELPER_17_CELL_DIFFERENTIATION	0.017987833820668632	0.9998594662436903	1	9	1.0
GO_SMOOTHENED_SIGNALING_PATHWAY_INVOLVED_IN_VENTRAL_SPINAL_CORD_PATTERNING	0.01810287804434422	0.9998598684902156	1	8	1.0
GO_T_CELL_MEDIATED_IMMUNITY	0.018772966989173846	0.9987958834160983	2	100	1.0
GO_INTERLEUKIN_1_BETA_BIOSYNTHETIC_PROCESS	0.019378587387160823	0.9998295673741036	1	14	1.0
GO_INTERLEUKIN_23_MEDIATED_SIGNALING_PATHWAY	0.019451786866447447	0.9998355675570677	1	9	1.0
GO_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	0.019794078409277133	0.9986935949199058	2	104	1.0
GO_OMEGA_HYDROXYLASE_P450_PATHWAY	0.019799156436287206	0.9998296193825111	1	9	1.0
GO_ALPHA_BETA_T_CELL_DIFFERENTIATION	0.020171046727402275	0.9986559093787266	2	101	1.0
GO_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_BACTERIUM	0.020369790134494647	0.999817376464478	1	10	1.0
GO_VENOUS_BLOOD_VESSEL_MORPHOGENESIS	0.020404390075578253	0.999819001207774	1	9	1.0
GO_NEGATIVE_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS	0.020737572360002048	0.9998072130708934	1	12	1.0
GO_PROSTATIC_BUD_FORMATION	0.02089272832664921	0.9998078409194383	1	10	1.0
GO_INTERLEUKIN_1_BIOSYNTHETIC_PROCESS	0.021008222634034013	0.9997976614022337	1	16	1.0
GO_IMMUNOLOGICAL_MEMORY_FORMATION_PROCESS	0.021092799063388314	0.9998041280226874	1	10	1.0
GO_ANATOMICAL_STRUCTURE_REGRESSION	0.02140803555706431	0.99979820520706	1	10	1.0
GO_POSITIVE_REGULATION_OF_FATTY_ACID_BETA_OXIDATION	0.0216882532003629	0.9997928656631034	1	10	1.0
GO_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION	0.02174580917052397	0.9997917602314836	1	10	1.0
GO_NEGATIVE_REGULATION_OF_FATTY_ACID_OXIDATION	0.021815995556943458	0.9997904082031123	1	10	1.0
GO_NOTOCHORD_MORPHOGENESIS	0.021959006137720356	0.9997876396801806	1	10	1.0
GO_REGULATION_OF_CEREBELLAR_GRANULE_CELL_PRECURSOR_PROLIFERATION	0.021971019831975653	0.999787406274607	1	10	1.0
GO_REGULATION_OF_ANGIOTENSIN_LEVELS_IN_BLOOD	0.022025865544002876	0.9997841958514606	1	11	1.0
GO_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS	0.022274798856712772	0.9969987289303526	3	290	1.0
GO_ONE_CARBON_COMPOUND_TRANSPORT	0.02248407201052508	0.9997750844890069	1	11	1.0
GO_CELL_FATE_SPECIFICATION_INVOLVED_IN_PATTERN_SPECIFICATION	0.02309457355542792	0.9997626494740401	1	11	1.0
GO_POSITIVE_REGULATION_OF_CELL_FATE_COMMITMENT	0.023484504670410647	0.9997480343712349	1	15	1.0
GO_POSITIVE_REGULATION_OF_T_CELL_DIFFERENTIATION_IN_THYMUS	0.023889580825395513	0.9997459502729834	1	11	1.0
GO_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	0.024039694407650292	0.996666946831624	3	274	1.0
GO_SPONTANEOUS_SYNAPTIC_TRANSMISSION	0.024354751930712782	0.9997359136253527	1	11	1.0
GO_T_HELPER_17_CELL_LINEAGE_COMMITMENT	0.024644047559959165	0.9997273368200907	1	12	1.0
GO_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS	0.025630966888502197	0.9997029043931894	1	13	1.0
GO_REGULATION_OF_DNA_CATABOLIC_PROCESS	0.025712473789619647	0.9996992376792799	1	14	1.0
GO_CDC42_PROTEIN_SIGNAL_TRANSDUCTION	0.02627379556328013	0.9996877395940842	1	13	1.0
GO_POSITIVE_REGULATION_OF_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	0.02631236117112399	0.9996868176822791	1	13	1.0
GO_ANION_TRANSMEMBRANE_TRANSPORT	0.0264027052805887	0.996204655415081	3	290	1.0
GO_INORGANIC_ANION_TRANSMEMBRANE_TRANSPORT	0.02664107930348351	0.99793826568504	2	114	1.0
GO_IMMUNOLOGICAL_MEMORY_PROCESS	0.026956749049117035	0.9996712104823631	1	13	1.0
GO_SPINAL_CORD_MOTOR_NEURON_CELL_FATE_SPECIFICATION	0.027345079360393692	0.9996616199008503	1	13	1.0
GO_POSITIVE_REGULATION_OF_TRIGLYCERIDE_BIOSYNTHETIC_PROCESS	0.027583449375573037	0.9996536324904761	1	14	1.0
GO_LATERAL_SPROUTING_FROM_AN_EPITHELIUM	0.02789849535056949	0.9996477114470966	1	13	1.0
GO_REGULATION_OF_T_CELL_ACTIVATION	0.028638831789793564	0.9957507118456828	3	317	1.0
GO_NITROGEN_CYCLE_METABOLIC_PROCESS	0.028778188925660517	0.9996228089007606	1	14	1.0
GO_CELLULAR_RESPONSE_TO_ETHANOL	0.02886058612571671	0.9996228581444458	1	13	1.0
GO_ENDOSOME_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT	0.029159367314056935	0.999614965577524	1	13	1.0
GO_REGULATION_OF_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_SIGNALING_PATHWAY	0.029596374579358528	0.9996009338848915	1	14	1.0
GO_LIPID_CATABOLIC_PROCESS	0.029730364865850158	0.995524377542332	3	323	1.0
GO_POSITIVE_REGULATION_OF_FATTY_ACID_OXIDATION	0.030598877536481946	0.9995732807314867	1	14	1.0
GO_BIOLOGICAL_ADHESION	0.031126552344172248	0.9901095606015019	7	1416	1.0
GO_POSITIVE_REGULATION_OF_ACTIN_NUCLEATION	0.03114228158533191	0.9995578997528684	1	14	1.0
GO_SMOOTHENED_SIGNALING_PATHWAY_INVOLVED_IN_DORSAL_VENTRAL_NEURAL_TUBE_PATTERNING	0.03180100235913269	0.9995388852468673	1	14	1.0
GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT	0.032238038892587896	0.9917613379989317	5	843	1.0
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_8_SECRETION	0.03318885778886784	0.9994927175604883	1	16	1.0
GO_SULFATE_TRANSPORT	0.033341180489741024	0.9994902721764132	1	15	1.0
GO_NEGATIVE_REGULATION_OF_LIPASE_ACTIVITY	0.033598012496585734	0.9994762445437214	1	18	1.0
GO_REGULATION_OF_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION	0.03392383588164411	0.9994698555329261	1	16	1.0
GO_LEUKOCYTE_CELL_CELL_ADHESION	0.033935870444607164	0.9946216235091024	3	342	1.0
GO_MORPHOGENESIS_OF_AN_EPITHELIAL_BUD	0.03399536224403273	0.9994676034071656	1	16	1.0
GO_SODIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	0.034093718865934465	0.9994668522301556	1	15	1.0
GO_VENOUS_BLOOD_VESSEL_DEVELOPMENT	0.03409830673678722	0.9994667078159569	1	15	1.0
GO_POSITIVE_REGULATION_OF_RECEPTOR_RECYCLING	0.034442258328352626	0.9994534226663032	1	16	1.0
GO_CELL_PROLIFERATION_IN_HINDBRAIN	0.03463253134914004	0.9994473276889324	1	16	1.0
GO_ALPHA_BETA_T_CELL_ACTIVATION	0.03469139606657999	0.9968996401889163	2	137	1.0
GO_CELLULAR_RESPONSE_TO_ZINC_ION	0.03533380185313591	0.9994130303734289	1	23	1.0
GO_REGULATION_OF_T_CELL_DIFFERENTIATION	0.035720636130652746	0.9967561063787101	2	140	1.0
GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_LINEAGE_COMMITMENT	0.03592830864329676	0.9994026032921427	1	17	1.0
GO_VENTRAL_SPINAL_CORD_INTERNEURON_DIFFERENTIATION	0.03623556413794736	0.9993922722861748	1	17	1.0
GO_PHOSPHATIDYLGLYCEROL_ACYL_CHAIN_REMODELING	0.03626358385354316	0.9993892374693354	1	18	1.0
GO_PHOSPHATIDYLINOSITOL_ACYL_CHAIN_REMODELING	0.036273205099883285	0.9993889111546415	1	18	1.0
GO_REGULATION_OF_LIPID_LOCALIZATION	0.036364361063036865	0.9966619548546828	2	157	1.0
GO_LYMPHANGIOGENESIS	0.03645625870733104	0.9993871708789159	1	16	1.0
GO_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY	0.03736589407184062	0.9965215425948415	2	146	1.0
GO_SMOOTHENED_SIGNALING_PATHWAY	0.03744652211094307	0.9965119137285403	2	138	1.0
GO_MAGNESIUM_ION_TRANSPORT	0.03822128831009369	0.9993233390041205	1	17	1.0
GO_POSITIVE_REGULATION_OF_CAMP_MEDIATED_SIGNALING	0.038305210658942816	0.9993159281402003	1	19	1.0
GO_CLATHRIN_COAT_ASSEMBLY	0.03845243319857548	0.9993127228146094	1	18	1.0
GO_NEGATIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS	0.038778651365412135	0.9992951283523891	1	21	1.0
GO_WATER_TRANSPORT	0.03897907912975437	0.9992914708239211	1	19	1.0
GO_REGULATION_OF_DEFENSE_RESPONSE_TO_BACTERIUM	0.039274677332642095	0.9992786325810343	1	20	1.0
GO_LYMPHOCYTE_DIFFERENTIATION	0.03940959794195239	0.9933779797800816	3	354	1.0
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION	0.039529628762059815	0.9962055241720847	2	148	1.0
GO_REGULATION_OF_FATTY_ACID_BETA_OXIDATION	0.03953359444157003	0.9992732390121274	1	18	1.0
GO_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION	0.03985793318535602	0.9992568874086678	1	20	1.0
GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING	0.04033495839131185	0.9992388591335417	1	20	1.0
GO_NOTOCHORD_DEVELOPMENT	0.04042428489623976	0.9992375483550194	1	19	1.0
GO_OSTEOBLAST_DEVELOPMENT	0.0404353560616153	0.9992371275289936	1	19	1.0
GO_REGULATION_OF_TRIGLYCERIDE_BIOSYNTHETIC_PROCESS	0.04047088619123425	0.9992300646947357	1	22	1.0
GO_OXIDATIVE_DEMETHYLATION	0.0405032464834039	0.9992345443691838	1	19	1.0
GO_REGIONALIZATION	0.041268073526603534	0.9929391680651786	3	354	1.0
GO_CD4_POSITIVE_OR_CD8_POSITIVE_ALPHA_BETA_T_CELL_LINEAGE_COMMITMENT	0.042287938472440084	0.9991627612823517	1	20	1.0
GO_POSITIVE_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS	0.0423094020171657	0.9991579510496742	1	22	1.0
GO_EPOXYGENASE_P450_PATHWAY	0.042358058403834366	0.9991599605841399	1	20	1.0
GO_NEURAL_PRECURSOR_CELL_PROLIFERATION	0.04253235689042261	0.9957516493970482	2	147	1.0
GO_LYMPH_VESSEL_MORPHOGENESIS	0.04346108254416421	0.9991176942291903	1	19	1.0
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_POSTSYNAPTIC_MEMBRANE	0.04404655048262714	0.9990910842755836	1	20	1.0
GO_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE	0.044487557497111516	0.9954448904635218	2	151	1.0
GO_REGULATION_OF_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS	0.04456571891646582	0.9990613104018593	1	24	1.0
GO_POSITIVE_REGULATION_OF_T_HELPER_CELL_DIFFERENTIATION	0.044604685614325054	0.9990633161013461	1	22	1.0
GO_NEGATIVE_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION	0.045240738113171766	0.9990383375800841	1	21	1.0
GO_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_SIGNALING_PATHWAY	0.04538063233903751	0.9990323308300104	1	21	1.0
GO_ANION_TRANSPORT	0.045456075477792075	0.9892946466289543	4	626	1.0
GO_POSITIVE_REGULATION_OF_ACTIVATED_T_CELL_PROLIFERATION	0.046502941104128205	0.998975447475518	1	25	1.0
GO_C4_DICARBOXYLATE_TRANSPORT	0.04664941262524583	0.998976983392661	1	21	1.0
GO_PHOSPHATIDYLETHANOLAMINE_ACYL_CHAIN_REMODELING	0.046833741976040164	0.9989643990696115	1	23	1.0
GO_CALCIUM_INDEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	0.04698242752504254	0.9989577557584173	1	23	1.0
GO_APOPTOTIC_DNA_FRAGMENTATION	0.04841859449865447	0.9988885125446677	1	25	1.0
GO_POSITIVE_REGULATION_OF_LIPID_CATABOLIC_PROCESS	0.04933685795206955	0.9988455625526969	1	25	1.0
GO_POSITIVE_REGULATION_OF_PROTEIN_MATURATION	0.04976264808385471	0.9988253656569684	1	25	1.0
GO_EXOGENOUS_DRUG_CATABOLIC_PROCESS	0.050697388635580314	0.998782482695783	1	24	1.0
GO_INORGANIC_ANION_TRANSPORT	0.05118584187845249	0.9943360840215428	2	164	1.0
GO_REGULATION_OF_T_CELL_DIFFERENTIATION_IN_THYMUS	0.05125439475934145	0.9987553255870442	1	24	1.0
GO_COCHLEA_MORPHOGENESIS	0.05144693509163622	0.9987458671881143	1	24	1.0
GO_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION	0.05154540792219563	0.9942723077729334	2	171	1.0
GO_LYMPHOCYTE_ACTIVATION	0.051641309369359484	0.9873249687492994	4	670	1.0
GO_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS_BY_HOST	0.051673058260883656	0.9987325502526622	1	25	1.0
GO_DORSAL_VENTRAL_NEURAL_TUBE_PATTERNING	0.052112775385473556	0.9987128769527703	1	24	1.0
GO_PHOSPHATIDYLCHOLINE_ACYL_CHAIN_REMODELING	0.05225996908848786	0.9987012720256185	1	26	1.0
GO_ADAPTIVE_IMMUNE_RESPONSE	0.052436674172930825	0.9901285817562876	3	407	1.0
GO_MORPHOGENESIS_OF_AN_EPITHELIAL_FOLD	0.052863986093484645	0.9986728695062527	1	25	1.0
GO_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	0.053225971798033705	0.9986544519204851	1	25	1.0
GO_SPINAL_CORD_PATTERNING	0.053254719526960995	0.9986529837079897	1	25	1.0
GO_REGULATION_OF_RECEPTOR_RECYCLING	0.05340426453753074	0.9986453329300634	1	25	1.0
GO_FLUID_TRANSPORT	0.05342244363839394	0.9986422681103878	1	26	1.0
GO_LIPID_LOCALIZATION	0.053482049958040026	0.9898512265890597	3	414	1.0
GO_REGULATION_OF_ACTIN_NUCLEATION	0.05366171708450816	0.9986321097932496	1	25	1.0
GO_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	0.05443195554358898	0.9985878927531077	1	27	1.0
GO_CENTRAL_NERVOUS_SYSTEM_PROJECTION_NEURON_AXONOGENESIS	0.05472646095303672	0.9985791525137916	1	24	1.0
GO_RESPONSE_TO_AUDITORY_STIMULUS	0.0547356263106896	0.9985740059802628	1	26	1.0
GO_REGULATION_OF_BLOOD_PRESSURE	0.05498674914491259	0.9936651719762183	2	182	1.0
GO_T_CELL_LINEAGE_COMMITMENT	0.05518274484629064	0.9985503738792321	1	26	1.0
GO_REGULATION_OF_CELL_CELL_ADHESION	0.05519090490671937	0.989394443450357	3	410	1.0
GO_LYMPH_VESSEL_DEVELOPMENT	0.056168531743572274	0.9984999287507832	1	25	1.0
GO_T_CELL_PROLIFERATION	0.05634775410359985	0.9934189818030199	2	186	1.0
GO_LONG_CHAIN_FATTY_ACID_BIOSYNTHETIC_PROCESS	0.056395659301229584	0.9984830664638271	1	27	1.0
GO_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.05688959111496616	0.9984520800923737	1	29	1.0
GO_NEGATIVE_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS	0.05693759807287303	0.9984443480922747	1	32	1.0
GO_MELANOCYTE_DIFFERENTIATION	0.056978653430192136	0.9984534543378526	1	26	1.0
GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	0.05732618692297123	0.9932462891713071	2	167	1.0
GO_NEGATIVE_REGULATION_OF_CARTILAGE_DEVELOPMENT	0.058394101399839665	0.9983702577435783	1	28	1.0
GO_ARACHIDONIC_ACID_SECRETION	0.05885372492067738	0.9983384036933602	1	31	1.0
GO_RESPONSE_TO_INTERFERON_GAMMA	0.05917813792697013	0.9928960597185026	2	194	1.0
GO_REGULATION_OF_LYMPHOCYTE_ACTIVATION	0.05924310104091853	0.9882846436425952	3	425	1.0
GO_PROSTATE_GLAND_MORPHOGENESIS	0.059839748305199836	0.9982876482524595	1	28	1.0
GO_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	0.06043854974259682	0.9982485936681985	1	30	1.0
GO_POSITIVE_REGULATION_OF_HEMOPOIESIS	0.060584841266691086	0.992633388261256	2	188	1.0
GO_INTERLEUKIN_8_SECRETION	0.060722538882402775	0.9982299842238241	1	31	1.0
GO_POSITIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION	0.06082450440028773	0.9982279662851181	1	29	1.0
GO_DEFENSE_RESPONSE_TO_FUNGUS	0.06093637867260042	0.998205420686543	1	39	1.0
GO_PHOSPHATIDYLSERINE_METABOLIC_PROCESS	0.06128446918136819	0.9981986603713611	1	30	1.0
GO_EPITHELIAL_TUBE_BRANCHING_INVOLVED_IN_LUNG_MORPHOGENESIS	0.06178329756405891	0.9981710103581029	1	29	1.0
GO_REGULATION_OF_FATTY_ACID_OXIDATION	0.06220282149314151	0.9981457991543938	1	29	1.0
GO_PEPTIDE_HORMONE_PROCESSING	0.06267283930851593	0.998111175097187	1	32	1.0
GO_BASEMENT_MEMBRANE_ORGANIZATION	0.0627227893089691	0.998114306706282	1	29	1.0
GO_PHOSPHATIDYLGLYCEROL_METABOLIC_PROCESS	0.06286323875755953	0.9981014826225443	1	31	1.0
GO_TRIGLYCERIDE_CATABOLIC_PROCESS	0.06286747705158463	0.9980974701378341	1	33	1.0
GO_NEGATIVE_REGULATION_OF_DENDRITE_DEVELOPMENT	0.06377475131186572	0.9980497631538398	1	29	1.0
GO_NEGATIVE_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY	0.06397079177889652	0.9980376120882886	1	29	1.0
GO_REGULATION_OF_CELL_FATE_COMMITMENT	0.06401860584768411	0.9980212937883247	1	36	1.0
GO_DNA_CATABOLIC_PROCESS_ENDONUCLEOLYTIC	0.06442141245586036	0.9980011081144281	1	33	1.0
GO_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	0.06490338125871793	0.9917972176115031	2	197	1.0
GO_ESTROGEN_METABOLIC_PROCESS	0.0649671366882991	0.9979686300319686	1	32	1.0
GO_RETROGRADE_TRANSPORT_ENDOSOME_TO_PLASMA_MEMBRANE	0.06501514455117655	0.9979698686497525	1	30	1.0
